,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper
117,Ralf Fahrmann_2019_Schalke 04,Bundesliga,1.59,71.1,18.8,-0.14,44.2,5.1,1.29
118,Alexander Nubel_2019_Schalke 04,Bundesliga,1.64,68.7,22.2,0.05,41.2,4.8,0.62
119,Tomas Vaclik_2019_Sevilla,La Liga,1.33,72,24.2,0.04,31.1,6.1,0.64
120,Angus Gunn_2019_Southampton,Premier League,1.5,64,25,-0.26,27.7,3,1
121,Alex McCarthy_2019_Southampton,Premier League,1.76,64.7,16,-0.15,31.1,4,0.68
122,Matz Sels_2019_Strasbourg,Ligue 1,1.3,72.3,21.6,-0.05,39.4,4.6,0.81
123,Ron-Robert Zieler_2019_Stuttgart,Bundesliga,2.06,62,17.6,-0.28,36.3,4.2,1.21
124,Salvatore Sirigu_2019_Torino,Serie A,0.99,75.7,38.9,0.16,45.2,4.8,1.02
125,Hugo Lloris_2019_Tottenham,Premier League,1,76.9,36.4,0.28,40.2,2.9,1.09
126,Mauro Goicoechea_2019_Toulouse,Ligue 1,1.52,68.6,42.9,-0.49,37.5,5,1.26
127,Baptiste Reynet_2019_Toulouse,Ligue 1,1.5,71.3,19.4,-0.02,38,3,1.07
128,Juan Musso_2019_Udinese,Serie A,1.38,77.8,24.1,0.12,43.9,2.9,0.34
129,Simone Scuffet_2019_Udinese,Serie A,1.44,68.4,22.2,0.05,46.4,1.4,0.44
130,Neto_2019_Valencia,La Liga,1,80.6,29.4,0.23,32.5,1.8,0.47
131,Jordi Masip_2019_Valladolid,La Liga,1.29,72,25.7,0.11,31.5,3.1,0.34
132,Sergio Asenjo_2019_Villarreal,La Liga,1.41,73.5,28.1,0.17,41.5,3.4,0.81
133,Andres Fernandez_2019_Villarreal,La Liga,1.17,73.9,33.3,0.25,48.4,3.1,1.67
134,Ben Foster_2019_Watford,Premier League,1.55,69.4,18.4,-0.01,36.1,5.4,1.89
135,Jiri Pavlenka_2019_Werder Bremen,Bundesliga,1.42,71.2,14.7,0,42.6,2.6,0.76
136,Lukasz Fabianski_2019_West Ham,Premier League,1.45,74.2,18.4,0.23,37.1,5.2,0.42
137,Koen Casteels_2019_Wolfsburg,Bundesliga,1.53,70.6,30.8,0.04,46.2,5.3,1.02
138,Pavao Pervan_2019_Wolfsburg,Bundesliga,1.29,72.5,12.5,0.1,47.9,2.3,0.24
139,Rui Patricio_2019_Wolves,Premier League,1.24,68.8,18.9,-0.07,39.4,2.8,0.49
140,Fernando Pacheco_2020_Alaves,La Liga,1.41,71.6,22.2,-0.1,45.8,2.1,0.42
141,Roberto_2020_Alaves,La Liga,2.16,70.4,25,0.13,43.1,2.8,0.34
142,Regis Gurtner_2020_Amiens,Ligue 1,1.79,65.5,17.9,-0.29,42,2.4,0.36
143,Ludovic Butelle_2020_Angers,Ligue 1,1.23,65.1,42.3,-0.2,34.8,4.7,0.85
144,Bernd Leno_2020_Arsenal,Premier League,1.33,78.1,23.3,0.04,24.1,3.6,1.29
145,Emiliano Martinez_2020_Arsenal,Premier League,1.05,81,37.5,0.32,28.6,5.8,0.47
146,Tom Heaton_2020_Aston Villa,Premier League,1.76,68.6,20,-0.28,31.3,2.9,0.65
147,Orjan Nyland_2020_Aston Villa,Premier League,2,55.6,20,-0.59,31.7,5,0.17
148,Pepe Reina_2020_Aston Villa,Premier League,1.67,66,16.7,-0.44,47,4.8,1.17
149,Pierluigi Gollini_2020_Atalanta,Serie A,1.31,70,24.2,-0.07,43.3,1.6,1.78
150,Marco Sportiello_2020_Atalanta,Serie A,0.86,72.2,40,-0.04,32.1,5.8,1.71
151,Unai Simon_2020_Athletic Club,La Liga,0.87,78,35.3,0.23,42.5,4,0.6
152,Jan Oblak_2020_Atletico Madrid,La Liga,0.72,78.4,44.7,0.15,39.4,2.3,0.32
153,Tomas Koubek_2020_Augsburg,Bundesliga,2.12,58.2,16.7,-0.26,31.7,3.6,1.42
154,Andreas Luthe_2020_Augsburg,Bundesliga,1.2,63.6,30,0.31,31.5,5.4,1.1
155,Marc-Andre ter Stegen_2020_Barcelona,La Liga,1,74.1,38.9,-0.03,51,4.7,1.08
156,Manuel Neuer_2020_Bayern Munich,Bundesliga,0.94,74.5,45.5,0.14,50.4,3.3,3.73
157,Daniel Martin_2020_Betis,La Liga,2.03,50,20,-0.69,39.7,2.9,1.36
158,Joel Robles_2020_Betis,La Liga,1.5,71.5,15.2,0,33.3,2.2,1.59
159,Lukasz Skorupski_2020_Bologna,Serie A,1.73,69,5.4,-0.25,44.2,9.3,0.78
160,Benoit Costil_2020_Bordeaux,Ligue 1,1.21,70.4,21.4,-0.01,40.4,3.9,1
161,Aaron Ramsdale_2020_Bournemouth,Premier League,1.68,69.5,13.5,-0.04,30.1,3.4,0.68
162,Lorenzo Andrenacci_2020_Brescia,Serie A,2.71,63.6,0,-0.54,40,3.1,0.17
163,Jesse Joronen_2020_Brescia,Serie A,2.03,72.4,17.2,-0.08,36.3,3.2,0.41
164,Gautier Larsonneur_2020_Brest,Ligue 1,1.28,76.5,25.9,0.28,34.3,4.2,1.05
165,Mathew Ryan_2020_Brighton,Premier League,1.42,69,23.7,-0.05,50.2,3.8,0.68
166,Nick Pope_2020_Burnley,Premier League,1.32,72.5,39.5,-0.09,30.2,8.3,1.26
167,Alessio Cragno_2020_Cagliari,Serie A,1.31,77.5,18.8,0.1,30.4,4.4,0.44
168,Robin Olsen_2020_Cagliari,Serie A,1.42,77.5,23.5,0.07,35.4,2.7,0.3
169,Rafael_2020_Cagliari,Serie A,2.18,47.1,0,-0.68,46.5,3.1,0.59
170,Ruben Blanco_2020_Celta Vigo,La Liga,1.31,71.9,30.3,-0.06,35.5,3.6,0.33
171,Kepa Arrizabalaga_2020_Chelsea,Premier League,1.42,54.5,24.2,-0.34,33.2,5.8,1.06
172,Vicente Guaita_2020_Crystal Palace,Premier League,1.2,71.8,28.6,0.21,32.3,3.9,0.69
173,Runar Alex Runarsson_2020_Dijon,Ligue 1,1.7,63.8,0,-0.47,41.3,5.5,0.9
174,Alfred Gomis_2020_Dijon,Ligue 1,1.11,76.5,31.6,-0.08,43.1,7.5,0.72
175,Roman Burki_2020_Dortmund,Bundesliga,1.3,61.1,38.7,-0.08,30.9,3.6,1.46
176,Florian Kastenmeier_2020_Dusseldorf,Bundesliga,1.82,62.8,11.8,-0.17,40.1,2.9,1.18
177,Zack Steffen_2020_Dusseldorf,Bundesliga,2.12,64.6,11.8,-0.15,43.6,5.3,0.94
178,Marko Dmitrovic_2020_Eibar,La Liga,1.46,61.5,28.6,-0.12,32.4,5.7,2.14
179,Frederik Ronnow_2020_Eint Frankfurt,Bundesliga,1.56,75.5,11.1,0.04,45.3,3.4,1.22
180,Kevin Trapp_2020_Eint Frankfurt,Bundesliga,1.73,64.8,18.2,-0.18,42.6,5.7,1.45
181,Diego Lopez_2020_Espanyol,La Liga,1.62,67.5,11.1,-0.06,33,5.5,1.39
182,Jordan Pickford_2020_Everton,Premier League,1.47,63.9,23.7,-0.07,37,4.7,0.66
183,Bartlomiej Dragowski_2020_Fiorentina,Serie A,1.39,73.4,25.8,-0.01,32.2,3,0.97
184,Pietro Terracciano_2020_Fiorentina,Serie A,0.72,91.3,28.6,0.36,23.1,5.8,0.72
185,Mark Flekken_2020_Freiburg,Bundesliga,1.4,79.7,30,0.57,35.6,3.1,0.8
186,Alexander Schwolow_2020_Freiburg,Bundesliga,1.38,75.4,16.7,0,35.7,3.4,0.6
187,Mattia Perin_2020_Genoa,Serie A,1.81,64.1,23.8,-0.12,34.6,5.3,0.57
188,Ionut Radu_2020_Genoa,Serie A,2.06,70.4,11.8,-0.16,36.1,3.2,0.41
189,David Soria_2020_Getafe,La Liga,0.97,70.6,39.5,0.09,37,5.2,1.82
190,Rui Silva_2020_Granada,La Liga,1.2,73.2,34.3,0.02,36.9,5,1.89
191,Marco Silvestri_2020_Hellas Verona,Serie A,1.23,77.4,25.7,0.08,26.5,3.1,0.43
192,Rune Jarstein_2020_Hertha BSC,Bundesliga,1.63,72.7,31,-0.06,46.5,7.2,0.71
193,Oliver Baumann_2020_Hoffenheim,Bundesliga,1.63,69.9,23.3,0.05,35,3.7,0.9
194,Samir Handanovic_2020_Inter,Serie A,0.91,72.7,37.1,-0.05,50,4.9,0.54
195,Gianluigi Buffon_2020_Juventus,Serie A,1.11,72.7,11.1,-0.27,46.2,2.8,0.78
196,Wojciech Szczesny_2020_Juventus,Serie A,1.15,80.6,37.9,0.14,49.7,3.1,1.29
197,Timo Horn_2020_Koln,Bundesliga,2.03,58.3,17.6,-0.36,48.9,4.2,0.68
198,Thomas Strakosha_2020_Lazio,Serie A,1.11,77.3,28.9,0.09,40.2,2.1,0.47
199,Gabriel_2020_Lecce,Serie A,2.28,70.9,5.9,-0.08,40,4.5,0.45
200,Ivan Cuellar_2020_Leganes,La Liga,1.22,67.7,25.9,-0.09,35.6,2.8,1.41
201,Juan Soriano_2020_Leganes,La Liga,1.64,66.7,9.1,-0.11,26.9,6,0.36
202,Kasper Schmeichel_2020_Leicester City,Premier League,1.08,75.6,34.2,0.14,45.2,2.8,0.89
203,Aitor Fernandez_2020_Levante,La Liga,1.42,76.6,13.9,0.1,34.6,3.4,1.25
204,Lukas Hradecky_2020_Leverkusen,Bundesliga,1.29,70.6,29.4,0.12,36.1,3.8,1.62
205,Mike Maignan_2020_Lille,Ligue 1,0.96,72.3,42.9,0.04,33.3,3.4,0.86
206,Adrian_2020_Liverpool,Premier League,1.03,63,22.2,-0.26,36.4,5.5,1.44
207,Alisson_2020_Liverpool,Premier League,0.81,72.5,44.8,-0.08,45,3.3,2.23
