,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper
539,Geronimo Rulli_2022_Villarreal,La Liga,0.87,75,43.8,0.04,39.3,4.6,1.63
540,Daniel Bachmann_2022_Watford,Premier League,2.33,65.3,0,-0.23,34.3,3.7,1
541,Ben Foster_2022_Watford,Premier League,1.88,60.3,15.4,-0.42,31.5,4.4,1.42
542,Lukasz Fabianski_2022_West Ham,Premier League,1.35,70.4,21.6,-0.03,36.8,4.7,0.32
543,Koen Casteels_2022_Wolfsburg,Bundesliga,1.43,68.6,35.7,0.07,44.6,7.5,1.07
544,Pavao Pervan_2022_Wolfsburg,Bundesliga,2.33,65.8,16.7,-0.29,31,2.1,1.17
545,Jose Sa_2022_Wolves,Premier League,1.1,80.6,29.7,0.2,29.4,7.8,1.1
546,Benjamin Leroy_2023_Ajaccio,Ligue 1,1.93,60.9,12.5,-0.36,40.8,4.6,1.74
547,Francois-Joseph Sollacaro_2023_Ajaccio,Ligue 1,2.33,45.8,16.7,-0.65,21.8,6.5,1
548,Fernando_2023_Almeria,La Liga,1.67,70.5,10.8,0.01,35.7,6.4,0.71
549,Paul Bernardoni_2023_Angers,Ligue 1,2.3,62.2,11.1,-0.28,32.3,5.9,0.67
550,Yahia Fofana_2023_Angers,Ligue 1,1.73,66.7,9.1,-0.14,26.4,11.9,0.82
551,Aaron Ramsdale_2023_Arsenal,Premier League,1.13,70.6,36.8,-0.05,25.4,5.8,1.13
552,Emiliano Martinez_2023_Aston Villa,Premier League,1.09,74.2,30.6,0.07,38,12.4,2.09
553,Juan Musso_2023_Atalanta,Serie A,1.17,71.9,29.2,-0.14,39.5,5.5,1.04
554,Marco Sportiello_2023_Atalanta,Serie A,1.41,68.8,14.3,-0.1,35.1,9,1.21
555,Julen Agirrezabala_2023_Athletic Club,La Liga,0.8,68.4,28.6,-0.06,36.6,11.5,1.33
556,Unai Simon_2023_Athletic Club,La Liga,1.21,67.3,29,-0.08,38.2,5.1,1.31
557,Ivo Grbic_2023_Atletico Madrid,La Liga,1.17,81.3,20,0.17,31.1,10.7,0.68
558,Jan Oblak_2023_Atletico Madrid,La Liga,0.72,75.9,39.3,0.07,32.1,7,0.69
559,Rafal Gikiewicz_2023_Augsburg,Bundesliga,1.78,70.6,21.7,0.01,40.9,5.8,1.96
560,Tomas Koubek_2023_Augsburg,Bundesliga,2,66.2,9.1,0.19,34.2,5.7,2
561,Benoit Costil_2023_Auxerre,Ligue 1,2.16,60.4,10.5,-0.37,45.2,1.1,0.58
562,Ionut Radu_2023_Auxerre,Ligue 1,1.18,73,29.4,0.17,33.5,5.1,0.76
563,Marc-Andre ter Stegen_2023_Barcelona,La Liga,0.48,84.7,68.4,0.23,50.1,4.9,1.1
564,Manuel Neuer_2023_Bayern Munich,Bundesliga,0.92,79.5,33.3,0.31,49.4,3.9,1.92
565,Yann Sommer_2023_Bayern Munich,Bundesliga,1.32,67.3,26.3,-0.07,40.7,5.7,1.42
566,Claudio Bravo_2023_Betis,La Liga,0.75,81,33.3,0.17,33.3,1.9,0.5
567,Rui Silva_2023_Betis,La Liga,1.23,71.2,34.6,0.07,37.6,4.9,1.42
568,Manuel Riemann_2023_Bochum,Bundesliga,2.12,68,14.7,0,47.1,5.8,3.56
569,Lukasz Skorupski_2023_Bologna,Serie A,1.32,73.9,18.9,0.05,39.4,5.9,0.65
570,Neto_2023_Bournemouth,Premier League,1.47,74.6,22.2,0.06,36.6,6.9,0.94
571,Mark Travers_2023_Bournemouth,Premier League,2.78,54.5,18.2,-0.52,46.1,2.2,0.43
572,David Raya_2023_Brentford,Premier League,1.21,77.7,31.6,0.13,39.3,8.7,1.42
573,Marco Bizot_2023_Brest,Ligue 1,1.46,73.3,21.6,0.08,41.5,5.8,0.68
574,Robert Sanchez_2023_Brighton,Premier League,1.3,66.2,26.1,-0.12,29.3,7.4,0.57
575,Jason Steele_2023_Brighton,Premier League,1.53,61.4,40,-0.1,45.9,7.9,1.27
576,Agustin Marchesin_2023_Celta Vigo,La Liga,1.53,62.5,31.6,-0.38,38.6,5.5,1.32
577,Ivan Villar_2023_Celta Vigo,La Liga,1.26,66.1,21.1,-0.09,33.9,3.1,0.74
578,Kepa Arrizabalaga_2023_Chelsea,Premier League,1.16,73.3,31,0.18,31.9,4.5,1.82
579,Edouard Mendy_2023_Chelsea,Premier League,1.47,64.1,11.1,-0.22,35.1,7,1.16
580,Mory Diaw_2023_Clermont Foot,Ligue 1,1.27,75.8,27,0.23,39.1,7.3,0.68
581,Marco Carnesecchi_2023_Cremonese,Serie A,1.74,70.6,14.8,-0.07,30,7.2,1.07
582,Ionut Radu_2023_Cremonese,Serie A,2.11,75,11.1,0.22,26.6,5.6,1
583,Vicente Guaita_2023_Crystal Palace,Premier League,1.26,72.4,22.2,0.01,35.9,6.3,0.96
584,Sam Johnstone_2023_Crystal Palace,Premier League,1.11,76.5,33.3,0.11,30.3,1.9,1.22
585,Jeremias Ledesma_2023_Cadiz,La Liga,1.41,77.7,35.3,-0.03,32.1,7.1,0.76
586,Gregor Kobel_2023_Dortmund,Bundesliga,1.19,73.9,40.7,0.1,39.7,5.1,1.37
587,Alexander Meyer_2023_Dortmund,Bundesliga,1.71,62.5,14.3,-0.58,40,8.8,2.57
588,Kevin Trapp_2023_Eint Frankfurt,Bundesliga,1.55,62.3,18.2,-0.23,24.5,4.2,0.73
589,Edgar Badia_2023_Elche,La Liga,1.75,72,11.1,0.24,45.3,3.7,0.56
590,Samuele Perisan_2023_Empoli,Serie A,1.29,62.5,28.6,-0.22,33.3,3.7,0.57
591,Guglielmo Vicario_2023_Empoli,Serie A,1.26,73.9,22.6,0.09,30.3,5.6,0.71
592,Alvaro Fernandez_2023_Espanyol,La Liga,1.64,64,18.2,-0.17,47.1,3.3,1.36
593,Benjamin Lecomte_2023_Espanyol,La Liga,1.4,65,10,-0.26,45,2.7,1.1
594,Fernando Pacheco_2023_Espanyol,La Liga,2.06,67,18.8,-0.4,46.7,6.6,1.19
595,Jordan Pickford_2023_Everton,Premier League,1.54,71.3,21.6,0.08,33.7,3.9,1.41
596,Pietro Terracciano_2023_Fiorentina,Serie A,1.31,66.7,17.2,-0.1,41.3,4.4,1.9
597,Mark Flekken_2023_Freiburg,Bundesliga,1.29,74,38.2,0.07,40.8,7.4,1.26
598,Bernd Leno_2023_Fulham,Premier League,1.42,77.1,22.2,0.25,31.7,7.5,1.28
599,David Soria_2023_Getafe,La Liga,1.18,75.3,34.2,0.07,45.2,6.1,1.21
600,Juan Carlos_2023_Girona,La Liga,1.8,62.8,0,-0.13,35.9,5,2.1
601,Paulo Gazzaniga_2023_Girona,La Liga,1.32,73.6,14.3,0.3,36.5,7.8,1.36
602,Lorenzo Montipo_2023_Hellas Verona,Serie A,1.59,68,13.5,-0.17,46.5,5.2,1.49
603,Oliver Christensen_2023_Hertha BSC,Bundesliga,2.06,61.3,9.1,-0.31,34.8,6.8,2.12
604,Oliver Baumann_2023_Hoffenheim,Bundesliga,1.68,65.8,14.7,-0.16,39.2,8.1,1.26
605,Samir Handanovic_2023_Inter,Serie A,1.31,67.3,28.6,-0.14,51.7,1.3,0.73
606,Andre Onana_2023_Inter,Serie A,1,73.5,33.3,-0.11,38.9,5.3,0.42
607,Mattia Perin_2023_Juventus,Serie A,0.66,85,60,0.39,29.9,2.6,1.04
608,Wojciech Szczesny_2023_Juventus,Serie A,0.95,75.3,50,0,47.4,2.8,0.76
609,Marvin Schwabe_2023_Koln,Bundesliga,1.59,61.2,17.6,-0.26,38.1,4.1,0.65
610,Ivan Provedel_2023_Lazio,Serie A,0.79,77.3,56.8,0.06,42.4,4.3,1.45
611,Wladimiro Falcone_2023_Lecce,Serie A,1.21,73.7,15.8,0.01,26.9,4.3,1.11
612,Illan Meslier_2023_Leeds United,Premier League,1.97,59.5,14.7,-0.36,23.6,7.9,1.94
613,Daniel Iversen_2023_Leicester City,Premier League,1.83,66.1,8.3,-0.18,19.6,7.9,0.5
614,Danny Ward_2023_Leicester City,Premier League,1.77,63,23.1,-0.21,31,5.6,1.62
615,Brice Samba_2023_Lens,Ligue 1,0.76,80,40.5,0.15,40,8.9,1.11
616,Lukas Hradecky_2023_Leverkusen,Bundesliga,1.42,71.8,27.3,-0.11,31.4,6.7,0.79
617,Lucas Chevalier_2023_Lille,Ligue 1,0.97,72.4,31.3,0.08,27,6.9,0.78
618,Alisson_2023_Liverpool,Premier League,1.16,72.1,37.8,0.27,41,5.8,2.41
619,Vito Mannone_2023_Lorient,Ligue 1,1.34,72.6,29.4,0.07,31.8,3.5,0.5
620,Yvon Mvogo_2023_Lorient,Ligue 1,1.44,71.4,14.3,-0.04,37.7,5.5,0.35
621,Anthony Lopes_2023_Lyon,Ligue 1,1.25,75.6,21.9,0.14,36,5.3,0.8
622,Remy Riou_2023_Lyon,Ligue 1,1.2,83.3,16.7,0.27,24.5,7.7,1.5
623,Jonas Omlin_2023_M'Gladbach,Bundesliga,1.26,71.4,33.3,0,32.2,6.8,1.4
624,Tobias Sippel_2023_M'Gladbach,Bundesliga,2.12,66.7,20,-0.08,23.6,2.3,0.71
625,Yann Sommer_2023_M'Gladbach,Bundesliga,1.4,80,30,0.37,34,3.1,1.3
626,Finn Dahmen_2023_Mainz 05,Bundesliga,2,65.9,0,-0.32,34.5,10.8,1
627,Robin Zentner_2023_Mainz 05,Bundesliga,1.5,67,26.9,-0.14,33.8,13.4,2.04
628,Predrag Rajkovic_2023_Mallorca,La Liga,1.11,74.4,33.3,-0.02,41.1,5.3,0.53
629,Ederson_2023_Manchester City,Premier League,0.91,62.3,31.4,-0.14,44.5,6.6,0.94
630,David de Gea_2023_Manchester Utd,Premier League,1.13,71.1,44.7,-0.02,31.4,2.9,0.84
631,Ruben Blanco_2023_Marseille,Ligue 1,1.09,68.4,0,-0.02,23.4,4.1,1.27
632,Pau Lopez_2023_Marseille,Ligue 1,1.05,76.4,31.3,0.02,34.6,5.9,1.14
633,Mike Maignan_2023_Milan,Serie A,0.96,69.4,36.4,-0.03,39.4,6.8,1.46
634,Ciprian Tatarusanu_2023_Milan,Serie A,1.37,67.2,25,-0.26,48.2,4.6,0.81
635,Alexander Nubel_2023_Monaco,Ligue 1,1.53,72.8,23.7,-0.14,42.5,7.9,0.87
636,Benjamin Lecomte_2023_Montpellier,Ligue 1,1.16,79.2,42.1,0.4,36,5.5,0.68
637,Jonas Omlin_2023_Montpellier,Ligue 1,2.01,68.5,14.3,0,32.9,6.7,0.93
638,Michele Di Gregorio_2023_Monza,Serie A,1.32,72.5,27,0.02,34.9,2.6,0.86
639,Alban Lafont_2023_Nantes,Ligue 1,1.46,74.9,29.7,0.13,36.6,8.5,1.05
640,Alex Meret_2023_Napoli,Serie A,0.71,74.7,47.1,0.03,38.6,3.3,1.15
641,Nick Pope_2023_Newcastle Utd,Premier League,0.88,74.6,37.8,0.01,32.6,8.3,2.04
642,Kasper Schmeichel_2023_Nice,Ligue 1,0.97,77.3,30.6,0.02,43.8,5.3,0.64
643,Dean Henderson_2023_Nott'ham Forest,Premier League,1.72,65.9,33.3,-0.23,32.3,6.9,1.5
644,Keylor Navas_2023_Nott'ham Forest,Premier League,1.88,66.3,5.9,-0.16,33.1,4.7,0.53
645,Aitor Fernandez_2023_Osasuna,La Liga,0.9,75.3,38.1,-0.01,43.6,4.4,1.76
646,Sergio Herrera_2023_Osasuna,La Liga,1.35,69,17.6,-0.04,43,7.4,1.18
647,Gianluigi Donnarumma_2023_Paris S-G,Ligue 1,1.06,76.3,34.2,0.11,36.5,7.6,0.71
648,Janis Blaswich_2023_RB Leipzig,Bundesliga,1.12,69.3,26.9,-0.08,31.2,6.9,1.5
649,Peter Gulacsi_2023_RB Leipzig,Bundesliga,1.67,65.4,33.3,0.19,29.7,4.9,1.67
650,Stole Dimitrievski_2023_Rayo Vallecano,La Liga,1.33,67.6,24.3,-0.02,28.3,4.8,1.41
651,Thibaut Courtois_2023_Real Madrid,La Liga,0.94,78.8,32.3,0.02,38.8,8.7,1.29
652,Andriy Lunin_2023_Real Madrid,La Liga,1,61.1,42.9,-0.21,51.9,1.9,1.57
653,Alex Remiro_2023_Real Sociedad,La Liga,0.92,74.4,39.5,0,42.7,4,1.24
654,Yehvann Diouf_2023_Reims,Ligue 1,1,78.1,45.2,0.22,44.2,9.3,1.13
655,Patrick Pentz_2023_Reims,Ligue 1,2,58.6,0,-0.16,30.9,7.8,0.57
656,Dogan Alemdar_2023_Rennes,Ligue 1,1.77,56.3,25,-0.32,34.3,6.7,1.11
657,Steve Mandanda_2023_Rennes,Ligue 1,0.93,73.6,35.3,0.07,38.8,9.2,1.52
658,Rui Patricio_2023_Roma,Serie A,1,69.4,37.1,-0.18,41.2,4,0.71
659,Guillermo Ochoa_2023_Salernitana,Serie A,1.65,71.4,20,0.09,31.4,3.5,0.5
660,Luigi Sepe_2023_Salernitana,Serie A,1.59,73.6,17.6,0.2,27.7,7.2,0.76
661,Emil Audero_2023_Sampdoria,Serie A,1.56,71.9,16,-0.19,36.1,6.7,0.92
662,Nicola Ravaglia_2023_Sampdoria,Serie A,2.56,67.2,0,-0.57,33.8,6.5,0.11
663,Andrea Consigli_2023_Sassuolo,Serie A,1.57,55.6,25.7,-0.41,40.4,6,0.8
664,Ralf Fahrmann_2023_Schalke 04,Bundesliga,1.14,78.2,41.7,0.04,45.6,6.8,0.79
665,Alexander Schwolow_2023_Schalke 04,Bundesliga,2.57,60.9,9.1,-0.54,40.8,2.2,1.02
666,Yassine Bounou_2023_Sevilla,La Liga,1.72,63.2,16,-0.07,38,6.5,1.63
667,Marko Dmitrovic_2023_Sevilla,La Liga,0.92,76.4,38.5,0.02,31.6,5.6,0.71
668,Gavin Bazunu_2023_Southampton,Premier League,1.75,54.2,12.5,-0.52,33.7,7.9,1.5
669,Alex McCarthy_2023_Southampton,Premier League,2.83,46.7,0,-0.84,19.5,6.5,1.17
670,Bartlomiej Dragowski_2023_Spezia,Serie A,1.65,69.5,17.6,-0.15,31.3,2.8,0.98
671,Matz Sels_2023_Strasbourg,Ligue 1,1.55,71.8,15.8,-0.06,34.9,6.2,0.84
672,Fabian Bredlow_2023_Stuttgart,Bundesliga,1.53,69.5,6.7,-0.13,42.6,5.9,1
673,Florian Muller_2023_Stuttgart,Bundesliga,1.79,62.1,5.3,-0.36,46.2,2.3,1.47
674,Vanja Milinkovic-Savic_2023_Torino,Serie A,1.08,73.5,28.9,-0.14,30.4,7.7,1.84
675,Fraser Forster_2023_Tottenham,Premier League,1.78,60,23.1,-0.2,29,2.6,1.19
676,Hugo Lloris_2023_Tottenham,Premier League,1.59,67.5,28,-0.17,35.3,6.2,1.18
677,Maxime Dupe_2023_Toulouse,Ligue 1,1.5,70.4,23.7,0.01,37.5,5.8,0.55
678,Gauthier Gallon_2023_Troyes,Ligue 1,2.19,66.1,0,-0.27,27.4,6.7,0.3
679,Mateusz Lis_2023_Troyes,Ligue 1,1.92,72.5,12.5,0.05,30.7,7.8,1.56
680,Marco Silvestri_2023_Udinese,Serie A,1.26,69.3,26.3,0.07,37.9,2.4,0.55
681,Frederik Ronnow_2023_Union Berlin,Bundesliga,0.93,81.5,37.9,0.28,39.7,9.9,1
682,Giorgi Mamardashvili_2023_Valencia,La Liga,1.18,70.9,18.4,0,33.9,7.7,1.24
683,Sergio Asenjo_2023_Valladolid,La Liga,2.1,60.8,10,-0.42,35.8,3,1.7
684,Jordi Masip_2023_Valladolid,La Liga,1.51,74.5,28.6,0.17,34.2,3.8,0.5
685,Pepe Reina_2023_Villarreal,La Liga,1.23,73.6,22.7,0.13,30.9,4.8,0.91
686,Geronimo Rulli_2023_Villarreal,La Liga,0.71,82.1,50,0.18,42,9.3,1.5
687,Jiri Pavlenka_2023_Werder Bremen,Bundesliga,1.89,65.3,12.1,-0.22,39.8,4.6,1.18
688,Lukasz Fabianski_2023_West Ham,Premier League,1.39,70.1,22.2,-0.03,38.4,5.7,0.72
689,Koen Casteels_2023_Wolfsburg,Bundesliga,1.41,70.1,35.3,-0.03,43.7,5.9,1.5
690,Jose Sa_2023_Wolves,Premier League,1.53,67.1,30.6,-0.16,27.6,8,0.78
