"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
"50","Marwin Hitz_2019",2019,"Dortmund","Bundesliga","Marwin Hitz","SUI","GK","30",1987,2,4,0,0,1,0,2.4,0.4,-1.6,-0.79,6,19,31.6,51,6,25.5,31,13,46.2,43.1,33,1,3,2,1,12,"https://fbref.com/en/players/2e7ff968/Marwin-Hitz"
"51","Jaroslav Drobný_2019",2019,"Düsseldorf","Bundesliga","Jaroslav Drobný","CZE","GK","38",1979,2,3,0,0,0,0,2.6,0.32,-0.4,-0.19,10,19,52.6,27,5,51.9,39.4,10,50,39.5,16,3,18.8,3,1.5,16.3,"https://fbref.com/en/players/e4a30d8c/Jaroslav-Drobny"
"52","Michael Rensing_2019",2019,"Düsseldorf","Bundesliga","Michael Rensing","GER","GK","34",1984,32,62,7,1,7,0,54.3,0.3,-7.7,-0.24,223,563,39.6,688,147,43.2,36.7,318,83.6,54.9,537,27,5,3,0.09,9.2,"https://fbref.com/en/players/c476b0c0/Michael-Rensing"
"53","Marko Dmitrović_2019",2019,"Eibar","La Liga","Marko Dmitrović","SRB","GK","26",1992,24,30,3,2,3,0,27.5,0.28,-2.5,-0.1,199,577,34.5,604,67,71.4,49.9,155,94.2,68.7,271,15,5.5,57,2.38,18.6,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
"54","Asier Riesgo_2019",2019,"Eibar","La Liga","Asier Riesgo","ESP","GK","34",1983,14,20,0,0,0,1,16.6,0.36,-2.4,-0.17,126,278,45.3,308,41,65.6,44.6,80,95,62.1,132,5,3.8,27,1.93,18.1,"https://fbref.com/en/players/581c5276/Asier-Riesgo"
"55","Frederik Rønnow_2019",2019,"Eint Frankfurt","Bundesliga","Frederik Rønnow","DEN","GK","25",1992,1.4,0,0,0,0,0,0.7,0.1,0.7,0.52,20,40,50,42,3,66.7,44.6,13,92.3,59.9,16,1,6.3,0,0,9,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow"
"56","Kevin Trapp_2019",2019,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","28",1990,32.6,48,1,1,5,1,43.4,0.28,-3.6,-0.11,330,705,46.8,982,104,53.1,38.3,222,82.9,56.6,441,19,4.3,37,1.13,15.4,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
"57","Bartłomiej Drągowski_2019",2019,"Empoli","Serie A","Bartłomiej Drągowski","POL","GK","20",1997,14,24,3,0,3,0,25.7,0.23,1.7,0.12,57,198,28.8,333,91,35.7,34.3,153,51.6,45.2,237,10,4.2,22,1.57,14.7,"https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski"
"58","Ivan Provedel_2019",2019,"Empoli","Serie A","Ivan Provedel","ITA","GK","24",1994,16,36,3,0,4,1,29.3,0.26,-5.7,-0.36,73,185,39.5,361,103,35.5,34.5,123,46.3,40,279,12,4.3,8,0.5,12.2,"https://fbref.com/en/players/277da414/Ivan-Provedel"
"59","Pietro Terracciano_2019",2019,"Empoli","Serie A","Pietro Terracciano","ITA","GK","28",1990,8,10,0,0,1,1,9.4,0.27,0.4,0.05,26,71,36.6,168,36,32.7,31.7,71,22.5,31.5,112,1,0.9,3,0.38,10.9,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
"60","Diego López_2019",2019,"Espanyol","La Liga","Diego López","ESP","GK","36",1981,38,50,6,5,7,2,51.8,0.27,3.8,0.1,226,562,40.2,868,133,39.9,35.4,333,64.9,47.6,674,24,3.6,19,0.5,12.3,"https://fbref.com/en/players/73683fa9/Diego-Lopez"
"61","Jordan Pickford_2019",2019,"Everton","Premier League","Jordan Pickford","ENG","GK","24",1994,38,46,2,2,9,2,45.3,0.3,1.3,0.03,253,724,34.9,979,152,54,42.3,291,67,53.7,431,14,3.2,40,1.05,17.3,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
"62","Bartłomiej Drągowski_2019",2019,"Fiorentina","Serie A","Bartłomiej Drągowski","POL","GK","20",1997,2.5,2,0,0,0,0,2.1,0.27,0.1,0.05,20,52,38.5,74,10,47.3,38.1,31,54.8,42.4,29,0,0,1,0.4,9.9,"https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski"
"63","Alban Lafont_2019",2019,"Fiorentina","Serie A","Alban Lafont","FRA","GK","19",1999,33.5,40,5,1,5,3,32.7,0.21,-4.3,-0.13,158,436,36.2,750,164,39.6,36.2,262,53.1,42.8,522,15,2.9,29,0.87,14.2,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
"64","Pietro Terracciano_2019",2019,"Fiorentina","Serie A","Pietro Terracciano","ITA","GK","28",1990,2,3,0,0,0,0,2.7,0.24,-0.3,-0.15,6,23,26.1,53,16,34,32,11,45.5,36.9,32,1,3.1,5,2.5,17.2,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
"65","Mark Flekken_2019",2019,"Freiburg","Bundesliga","Mark Flekken","NED","GK","25",1993,1,1,0,0,0,0,0.9,0.18,-0.1,-0.11,5,11,45.5,24,1,37.5,38.1,5,40,44.6,7,0,0,0,0,15.5,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
"66","Alexander Schwolow_2019",2019,"Freiburg","Bundesliga","Alexander Schwolow","GER","GK","26",1992,33,60,7,0,11,0,57.2,0.31,-2.8,-0.09,258,636,40.6,940,142,39.8,36.7,330,79.4,59.4,545,13,2.4,29,0.88,14.8,"https://fbref.com/en/players/0d55d942/Alexander-Schwolow"
"67","Francesco Bardi_2019",2019,"Frosinone","Serie A","Francesco Bardi","ITA","GK","26",1992,3,5,0,1,0,0,3.8,0.32,-1.2,-0.41,13,40,32.5,59,15,49.2,36.1,15,73.3,50.9,34,3,8.8,0,0,7,"https://fbref.com/en/players/0acda699/Francesco-Bardi"
"68","Marco Sportiello_2019",2019,"Frosinone","Serie A","Marco Sportiello","ITA","GK","26",1992,35,64,5,2,8,1,54.7,0.25,-8.3,-0.24,178,532,33.5,882,222,36.4,34.8,341,61.9,47.5,584,20,3.4,21,0.6,13.8,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
