"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"191","Sergio Asenjo_2019",2019,"Villarreal","La Liga","Sergio Asenjo","ESP","GK","29",1989,32,32,2880,32,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
"192","Andrés Fernández_2019",2019,"Villarreal","La Liga","Andrés Fernández","ESP","GK","31",1986,6,6,540,6,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0,"https://fbref.com/en/players/307fcd26/Andres-Fernandez"
"193","Ben Foster_2019",2019,"Watford","Premier League","Ben Foster","ENG","GK","35",1983,38,38,3420,38,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20,"https://fbref.com/en/players/d0b3ceb9/Ben-Foster"
"194","Stefanos Kapino_2019",2019,"Werder Bremen","Bundesliga","Stefanos Kapino","GRE","GK","24",1994,1,0,45,0.5,1,2,3,2,66.7,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/62ba5881/Stefanos-Kapino"
"195","Jiří Pavlenka_2019",2019,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","26",1992,34,34,2978,33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
"196","Luca Plogmann_2019",2019,"Werder Bremen","Bundesliga","Luca Plogmann","GER","GK","18",2000,1,0,37,0.4,1,2.43,1,0,100,0,0,0,0,NA,1,1,0,0,0,"https://fbref.com/en/players/206c37d3/Luca-Plogmann"
"197","Łukasz Fabiański_2019",2019,"West Ham","Premier League","Łukasz Fabiański","POL","GK","33",1985,38,38,3420,38,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
"198","Koen Casteels_2019",2019,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","26",1992,26,26,2295,25.5,39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,0,20,"https://fbref.com/en/players/db401046/Koen-Casteels"
"199","Pavao Pervan_2019",2019,"Wolfsburg","Bundesliga","Pavao Pervan","AUT","GK","30",1987,10,8,765,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,NA,"https://fbref.com/en/players/c89e8aae/Pavao-Pervan"
"200","Will Norris_2019",2019,"Wolves","Premier League","Will Norris","ENG","GK","24",1993,1,0,NA,0,0,NA,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/c73ada83/Will-Norris"
"201","Rui Patrício_2019",2019,"Wolves","Premier League","Rui Patrício","POR","GK","30",1988,37,37,3330,37,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
"202","John Ruddy_2019",2019,"Wolves","Premier League","John Ruddy","ENG","GK","31",1986,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/da8b19e2/John-Ruddy"
"203","Fernando Pacheco_2020",2020,"Alavés","La Liga","Fernando Pacheco","ESP","GK","27",1992,27,27,2358,26.2,37,1.41,102,62,71.6,7,7,13,6,22.2,11,8,3,0,27.3,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"204","Roberto_2020",2020,"Alavés","La Liga","Roberto","ESP","GK","33",1986,9,8,790,8.8,19,2.16,54,35,70.4,2,1,5,2,25,3,3,0,0,0,"https://fbref.com/en/players/ba3ca78f/Roberto"
"205","Antonio Sivera_2020",2020,"Alavés","La Liga","Antonio Sivera","ESP","GK","22",1996,3,3,270,3,3,1,5,2,60,1,1,1,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
"206","Régis Gurtner_2020",2020,"Amiens","Ligue 1","Régis Gurtner","FRA","GK","32",1986,28,28,2520,28,50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0,"https://fbref.com/en/players/bc270726/Regis-Gurtner"
"207","Ludovic Butelle_2020",2020,"Angers","Ligue 1","Ludovic Butelle","FRA","GK","36",1983,26,26,2340,26,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0,"https://fbref.com/en/players/26975a92/Ludovic-Butelle"
"208","Danijel Petković_2020",2020,"Angers","Ligue 1","Danijel Petković","MNE","GK","26",1993,2,2,180,2,1,0.5,7,6,85.7,1,0,1,1,50,0,0,0,0,NA,"https://fbref.com/en/players/b98cea65/Danijel-Petkovic"
"209","Bernd Leno_2020",2020,"Arsenal","Premier League","Bernd Leno","GER","GK","27",1992,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"210","Emiliano Martínez_2020",2020,"Arsenal","Premier League","Emiliano Martínez","ARG","GK","26",1992,9,8,771,8.6,9,1.05,42,33,81,5,1,2,3,37.5,1,1,0,0,0,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
"211","Tom Heaton_2020",2020,"Aston Villa","Premier League","Tom Heaton","ENG","GK","33",1986,20,20,1794,19.9,35,1.76,102,68,68.6,6,3,11,4,20,3,3,0,0,0,"https://fbref.com/en/players/a6de6361/Tom-Heaton"
"212","Ørjan Nyland_2020",2020,"Aston Villa","Premier League","Ørjan Nyland","NOR","GK","28",1990,7,5,539,6,12,2,27,15,55.6,0,2,3,1,20,0,0,0,0,NA,"https://fbref.com/en/players/bdedffac/Orjan-Nyland"
"213","Pepe Reina_2020",2020,"Aston Villa","Premier League","Pepe Reina","ESP","GK","36",1982,12,12,1080,12,20,1.67,53,32,66,3,3,6,2,16.7,3,2,1,0,33.3,"https://fbref.com/en/players/e358587b/Pepe-Reina"
"214","Jed Steer_2020",2020,"Aston Villa","Premier League","Jed Steer","ENG","GK","26",1992,1,1,7,0.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a8a3d139/Jed-Steer"
"215","Pierluigi Gollini_2020",2020,"Atalanta","Serie A","Pierluigi Gollini","ITA","GK","24",1995,33,33,2884,32,42,1.31,120,81,70,19,9,5,8,24.2,6,6,0,0,0,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"216","Francesco Rossi_2020",2020,"Atalanta","Serie A","Francesco Rossi","ITA","GK","28",1991,1,0,11,0.1,1,8.18,1,0,0,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
"217","Marco Sportiello_2020",2020,"Atalanta","Serie A","Marco Sportiello","ITA","GK","27",1992,6,5,525,5.8,5,0.86,18,13,72.2,4,0,1,2,40,0,0,0,0,NA,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
"218","Iago Herrerín_2020",2020,"Athletic Club","La Liga","Iago Herrerín","ESP","GK","31",1988,5,4,425,4.7,9,1.91,19,10,52.6,0,3,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9109185e/Iago-Herrerin"
"219","Unai Simón_2020",2020,"Athletic Club","La Liga","Unai Simón","ESP","GK","22",1997,34,34,2991,33.2,29,0.87,109,82,78,13,9,12,12,35.3,7,5,0,2,0,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"220","Antonio Adán_2020",2020,"Atlético Madrid","La Liga","Antonio Adán","ESP","GK","32",1987,1,0,25,0.3,0,0,1,1,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/65d62814/Antonio-Adan"
"221","Jan Oblak_2020",2020,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","26",1993,38,38,3395,37.7,27,0.72,111,87,78.4,18,16,4,17,44.7,4,3,0,1,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
