Name,Year,Club,unique_ID,Role,Name_Year
Dimitri Payet,2021,Marseille,Dimitri Payet_2021_Marseille,attacking-midfield,Dimitri Payet_2021
Dimitri Payet,2022,Marseille,Dimitri Payet_2022_Marseille,attacking-midfield,Dimitri Payet_2022
Dimitri Payet,2023,Marseille,Dimitri Payet_2023_Marseille,attacking-midfield,Dimitri Payet_2023
Dominik Szoboszlai,2022,RB Leipzig,Dominik Szoboszlai_2022_RB Leipzig,attacking-midfield,Dominik Szoboszlai_2022
Dominik Szoboszlai,2023,RB Leipzig,Dominik Szoboszlai_2023_RB Leipzig,attacking-midfield,Dominik Szoboszlai_2023
Eberechi Eze,2021,Crystal Palace,Eberechi Eze_2021_Crystal Palace,attacking-midfield,Eberechi Eze_2021
Eberechi Eze,2022,Crystal Palace,Eberechi Eze_2022_Crystal Palace,attacking-midfield,Eberechi Eze_2022
Eberechi Eze,2023,Crystal Palace,Eberechi Eze_2023_Crystal Palace,attacking-midfield,Eberechi Eze_2023
Eliesse Ben Seghir,2023,Monaco,Eliesse Ben Seghir_2023_Monaco,attacking-midfield,Eliesse Ben Seghir_2023
Emil Forsberg,2019,RB Leipzig,Emil Forsberg_2019_RB Leipzig,attacking-midfield,Emil Forsberg_2019
Emil Forsberg,2020,RB Leipzig,Emil Forsberg_2020_RB Leipzig,attacking-midfield,Emil Forsberg_2020
Emil Forsberg,2021,RB Leipzig,Emil Forsberg_2021_RB Leipzig,attacking-midfield,Emil Forsberg_2021
Emil Forsberg,2022,RB Leipzig,Emil Forsberg_2022_RB Leipzig,attacking-midfield,Emil Forsberg_2022
Emil Forsberg,2023,RB Leipzig,Emil Forsberg_2023_RB Leipzig,attacking-midfield,Emil Forsberg_2023
Emile Smith Rowe,2021,Arsenal,Emile Smith Rowe_2021_Arsenal,attacking-midfield,Emile Smith Rowe_2021
Emile Smith Rowe,2022,Arsenal,Emile Smith Rowe_2022_Arsenal,attacking-midfield,Emile Smith Rowe_2022
Enis Bardhi,2019,Levante,Enis Bardhi_2019_Levante,attacking-midfield,Enis Bardhi_2019
Enis Bardhi,2020,Levante,Enis Bardhi_2020_Levante,attacking-midfield,Enis Bardhi_2020
Enis Bardhi,2021,Levante,Enis Bardhi_2021_Levante,attacking-midfield,Enis Bardhi_2021
Enis Bardhi,2022,Levante,Enis Bardhi_2022_Levante,attacking-midfield,Enis Bardhi_2022
Enzo Le Fee,2021,Lorient,Enzo Le Fee_2021_Lorient,attacking-midfield,Enzo Le Fee_2021
Enzo Le Fee,2022,Lorient,Enzo Le Fee_2022_Lorient,attacking-midfield,Enzo Le Fee_2022
Enzo Le Fee,2023,Lorient,Enzo Le Fee_2023_Lorient,attacking-midfield,Enzo Le Fee_2023
Facundo Buonanotte,2023,Brighton,Facundo Buonanotte_2023_Brighton,attacking-midfield,Facundo Buonanotte_2023
Farid Boulaya,2020,Metz,Farid Boulaya_2020_Metz,attacking-midfield,Farid Boulaya_2020
Farid Boulaya,2021,Metz,Farid Boulaya_2021_Metz,attacking-midfield,Farid Boulaya_2021
Farid Boulaya,2022,Metz,Farid Boulaya_2022_Metz,attacking-midfield,Farid Boulaya_2022
Fede Vico,2020,Granada,Fede Vico_2020_Granada,attacking-midfield,Fede Vico_2020
Fede Vico,2021,Granada,Fede Vico_2021_Granada,attacking-midfield,Fede Vico_2021
Felix Nmecha,2023,Wolfsburg,Felix Nmecha_2023_Wolfsburg,attacking-midfield,Felix Nmecha_2023
Florent Mollet,2019,Montpellier,Florent Mollet_2019_Montpellier,attacking-midfield,Florent Mollet_2019
Florent Mollet,2020,Montpellier,Florent Mollet_2020_Montpellier,attacking-midfield,Florent Mollet_2020
Florent Mollet,2021,Montpellier,Florent Mollet_2021_Montpellier,attacking-midfield,Florent Mollet_2021
Florent Mollet,2022,Montpellier,Florent Mollet_2022_Montpellier,attacking-midfield,Florent Mollet_2022
Florent Mollet,2023,Nantes,Florent Mollet_2023_Nantes,attacking-midfield,Florent Mollet_2023
Florian Wirtz,2021,Leverkusen,Florian Wirtz_2021_Leverkusen,attacking-midfield,Florian Wirtz_2021
Florian Wirtz,2022,Leverkusen,Florian Wirtz_2022_Leverkusen,attacking-midfield,Florian Wirtz_2022
Florian Wirtz,2023,Leverkusen,Florian Wirtz_2023_Leverkusen,attacking-midfield,Florian Wirtz_2023
Franco Vazquez,2019,Sevilla,Franco Vazquez_2019_Sevilla,attacking-midfield,Franco Vazquez_2019
Franco Vazquez,2020,Sevilla,Franco Vazquez_2020_Sevilla,attacking-midfield,Franco Vazquez_2020
Fredrik Jensen,2020,Augsburg,Fredrik Jensen_2020_Augsburg,attacking-midfield,Fredrik Jensen_2020
Fredrik Jensen,2023,Augsburg,Fredrik Jensen_2023_Augsburg,attacking-midfield,Fredrik Jensen_2023
Gael Kakuta,2021,Lens,Gael Kakuta_2021_Lens,attacking-midfield,Gael Kakuta_2021
Gael Kakuta,2022,Lens,Gael Kakuta_2022_Lens,attacking-midfield,Gael Kakuta_2022
Gaston Pereiro,2022,Cagliari,Gaston Pereiro_2022_Cagliari,attacking-midfield,Gaston Pereiro_2022
Gaston Ramirez,2019,Sampdoria,Gaston Ramirez_2019_Sampdoria,attacking-midfield,Gaston Ramirez_2019
Gaston Ramirez,2020,Sampdoria,Gaston Ramirez_2020_Sampdoria,attacking-midfield,Gaston Ramirez_2020
Gaston Ramirez,2021,Sampdoria,Gaston Ramirez_2021_Sampdoria,attacking-midfield,Gaston Ramirez_2021
Genki Haraguchi,2022,Union Berlin,Genki Haraguchi_2022_Union Berlin,attacking-midfield,Genki Haraguchi_2022
Genki Haraguchi,2023,Stuttgart,Genki Haraguchi_2023_Stuttgart,attacking-midfield,Genki Haraguchi_2023
Genki Haraguchi,2023,Union Berlin,Genki Haraguchi_2023_Union Berlin,attacking-midfield,Genki Haraguchi_2023
Gylfi Sigurdsson,2019,Everton,Gylfi Sigurdsson_2019_Everton,attacking-midfield,Gylfi Sigurdsson_2019
Gylfi Sigurdsson,2020,Everton,Gylfi Sigurdsson_2020_Everton,attacking-midfield,Gylfi Sigurdsson_2020
Gylfi Sigurdsson,2021,Everton,Gylfi Sigurdsson_2021_Everton,attacking-midfield,Gylfi Sigurdsson_2021
Hamed Junior Traore,2020,Sassuolo,Hamed Junior Traore_2020_Sassuolo,attacking-midfield,Hamed Junior Traore_2020
Hamed Junior Traore,2021,Sassuolo,Hamed Junior Traore_2021_Sassuolo,attacking-midfield,Hamed Junior Traore_2021
Hamed Junior Traore,2022,Sassuolo,Hamed Junior Traore_2022_Sassuolo,attacking-midfield,Hamed Junior Traore_2022
Hamed Junior Traore,2023,Sassuolo,Hamed Junior Traore_2023_Sassuolo,attacking-midfield,Hamed Junior Traore_2023
Harvey Elliott,2023,Liverpool,Harvey Elliott_2023_Liverpool,attacking-midfield,Harvey Elliott_2023
Iker Muniain,2019,Athletic Club,Iker Muniain_2019_Athletic Club,attacking-midfield,Iker Muniain_2019
Iker Muniain,2020,Athletic Club,Iker Muniain_2020_Athletic Club,attacking-midfield,Iker Muniain_2020
Iker Muniain,2021,Athletic Club,Iker Muniain_2021_Athletic Club,attacking-midfield,Iker Muniain_2021
Iker Muniain,2022,Athletic Club,Iker Muniain_2022_Athletic Club,attacking-midfield,Iker Muniain_2022
Iker Muniain,2023,Athletic Club,Iker Muniain_2023_Athletic Club,attacking-midfield,Iker Muniain_2023
Isco,2019,Real Madrid,Isco_2019_Real Madrid,attacking-midfield,Isco_2019
Isco,2020,Real Madrid,Isco_2020_Real Madrid,attacking-midfield,Isco_2020
Isco,2021,Real Madrid,Isco_2021_Real Madrid,attacking-midfield,Isco_2021
Jamal Musiala,2021,Bayern Munich,Jamal Musiala_2021_Bayern Munich,attacking-midfield,Jamal Musiala_2021
Jamal Musiala,2022,Bayern Munich,Jamal Musiala_2022_Bayern Munich,attacking-midfield,Jamal Musiala_2022
Jamal Musiala,2023,Bayern Munich,Jamal Musiala_2023_Bayern Munich,attacking-midfield,Jamal Musiala_2023
James Maddison,2019,Leicester City,James Maddison_2019_Leicester City,attacking-midfield,James Maddison_2019
James Maddison,2020,Leicester City,James Maddison_2020_Leicester City,attacking-midfield,James Maddison_2020
James Maddison,2021,Leicester City,James Maddison_2021_Leicester City,attacking-midfield,James Maddison_2021
James Maddison,2022,Leicester City,James Maddison_2022_Leicester City,attacking-midfield,James Maddison_2022
James Maddison,2023,Leicester City,James Maddison_2023_Leicester City,attacking-midfield,James Maddison_2023
Jason Berthomier,2022,Clermont Foot,Jason Berthomier_2022_Clermont Foot,attacking-midfield,Jason Berthomier_2022
Javi Martinez,2021,Osasuna,Javi Martinez_2021_Osasuna,attacking-midfield,Javi Martinez_2021
Javi Martinez,2022,Osasuna,Javi Martinez_2022_Osasuna,attacking-midfield,Javi Martinez_2022
Javier Pastore,2019,Roma,Javier Pastore_2019_Roma,attacking-midfield,Javier Pastore_2019
Javier Pastore,2020,Roma,Javier Pastore_2020_Roma,attacking-midfield,Javier Pastore_2020
Javier Pastore,2022,Elche,Javier Pastore_2022_Elche,attacking-midfield,Javier Pastore_2022
Jean-Paul Boetius,2019,Mainz 05,Jean-Paul Boetius_2019_Mainz 05,attacking-midfield,Jean-Paul Boetius_2019
Jean-Paul Boetius,2020,Mainz 05,Jean-Paul Boetius_2020_Mainz 05,attacking-midfield,Jean-Paul Boetius_2020
Jean-Paul Boetius,2021,Mainz 05,Jean-Paul Boetius_2021_Mainz 05,attacking-midfield,Jean-Paul Boetius_2021
Jean-Paul Boetius,2022,Mainz 05,Jean-Paul Boetius_2022_Mainz 05,attacking-midfield,Jean-Paul Boetius_2022
Jeff Reine-Adelaide,2019,Angers,Jeff Reine-Adelaide_2019_Angers,attacking-midfield,Jeff Reine-Adelaide_2019
Jeff Reine-Adelaide,2020,Lyon,Jeff Reine-Adelaide_2020_Lyon,attacking-midfield,Jeff Reine-Adelaide_2020
