,Unnamed: 0,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper,calculated_war
71,71,Oier Olazabal_2019_Levante,La Liga,1.9,73.3,23.8,0.08,36.5,3.9,0.67,-0.08665942582177785
72,72,Lukas Hradecky_2019_Leverkusen,Bundesliga,1.47,65.4,28.1,-0.21,45.4,2.5,1.59,-0.5492992583669083
73,73,Mike Maignan_2019_Lille,Ligue 1,0.87,78.4,39.5,0.16,31.8,5.8,1.16,2.3228174062326787
74,74,Alisson_2019_Liverpool,Premier League,0.58,77.1,55.3,0.14,41.5,4.2,1.55,3.2574285039351794
75,75,Anthony Lopes_2019_Lyon,Ligue 1,1.24,72.4,26.5,-0.09,41.5,3.3,0.88,0.40944923945645356
76,76,Yann Sommer_2019_M'Gladbach,Bundesliga,1.24,75.0,38.2,0.18,37.4,5.7,0.97,1.6890181762066272
77,77,Florian Muller_2019_Mainz 05,Bundesliga,1.79,67.7,20.8,-0.17,37.0,3.4,1.04,-1.0799321401812538
78,78,Robin Zentner_2019_Mainz 05,Bundesliga,1.4,71.4,20.0,-0.12,26.7,6.0,1.2,-0.33108294560874496
79,79,Ederson_2019_Manchester City,Premier League,0.61,76.5,52.6,0.01,41.0,6.7,1.08,2.7842701241974335
80,80,David de Gea_2019_Manchester Utd,Premier League,1.42,71.9,18.4,-0.03,42.7,1.7,0.66,-0.03775895739301312
81,81,Steve Mandanda_2019_Marseille,Ligue 1,1.32,69.9,29.0,-0.16,37.9,5.2,0.89,0.032529028233361894
82,82,Yohann Pele_2019_Marseille,Ligue 1,1.59,68.0,42.9,-0.17,50.0,4.7,1.19,0.26067351736355804
83,83,Gianluigi Donnarumma_2019_Milan,Serie A,0.9,77.8,30.6,0.14,47.9,2.7,0.64,2.012783021915155
84,84,Diego Benaglio_2019_Monaco,Ligue 1,1.66,63.5,18.2,-0.12,38.7,2.8,0.66,-1.2411175725070724
85,85,Danijel Subasic_2019_Monaco,Ligue 1,0.95,74.4,28.6,0.07,37.5,3.6,0.48,1.2899688804313192
86,86,Benjamin Lecomte_2019_Montpellier,Ligue 1,1.14,72.7,29.7,0.04,45.1,4.8,1.05,1.0845412179481786
87,87,Maxime Dupe_2019_Nantes,Ligue 1,1.63,55.9,10.0,-0.36,38.8,4.4,0.67,-2.6384419645210317
88,88,Ciprian Tatarusanu_2019_Nantes,Ligue 1,1.13,69.5,25.9,0.05,45.8,5.3,1.43,0.7739350512138772
89,89,Orestis Karnezis_2019_Napoli,Serie A,0.78,77.8,44.4,0.13,28.3,3.7,0.67,2.3618300117296043
90,90,Alex Meret_2019_Napoli,Serie A,0.7,85.4,38.5,0.07,29.0,1.1,0.63,2.6356050522994106
91,91,David Ospina_2019_Napoli,Serie A,1.24,69.4,31.3,-0.22,32.1,6.5,0.62,-0.04690780080293116
92,92,Martin Dubravka_2019_Newcastle Utd,Premier League,1.26,70.0,28.9,-0.12,35.3,6.6,0.87,0.1926924769788835
93,93,Walter Benitez_2019_Nice,Ligue 1,0.83,81.1,45.7,0.35,36.9,3.0,0.4,3.236648115903763
94,94,Paul Bernardoni_2019_Nimes,Ligue 1,1.53,70.0,26.3,0.09,33.9,5.7,0.87,0.22820813518398017
95,95,Fabian Bredlow_2019_Nurnberg,Bundesliga,2.24,54.1,16.7,-0.48,32.4,0.6,0.8,-3.724154246890905
96,96,Christian Mathenia_2019_Nurnberg,Bundesliga,1.86,67.8,9.1,-0.3,35.9,1.9,0.47,-1.9920265065167846
97,97,Alphonse Areola_2019_Paris S-G,Ligue 1,0.81,80.3,52.4,0.11,42.6,2.7,0.62,2.977272804452239
98,98,Gianluigi Buffon_2019_Paris S-G,Ligue 1,1.06,73.8,35.3,0.17,39.6,1.1,0.94,1.605901315307051
99,99,Luigi Sepe_2019_Parma,Serie A,1.59,74.1,27.0,0.02,43.3,4.3,0.35,0.4226184827577962
100,100,Peter Gulacsi_2019_RB Leipzig,Bundesliga,0.83,80.3,45.5,0.37,40.1,4.2,1.75,3.376742701690723
101,101,Stole Dimitrievski_2019_Rayo Vallecano,La Liga,1.67,69.5,14.3,-0.1,41.0,2.5,0.81,-0.8443935927045
102,102,Alberto Garcia_2019_Rayo Vallecano,La Liga,2.06,60.9,23.5,-0.06,41.7,2.0,1.06,-1.5263825536919309
103,103,Thibaut Courtois_2019_Real Madrid,La Liga,1.33,71.2,29.6,0.01,34.4,7.3,0.74,0.5316160266192278
104,104,Keylor Navas_2019_Real Madrid,La Liga,0.8,74.2,40.0,0.2,35.3,5.0,1.6,2.2576395471834294
105,105,Miguel Angel Moya_2019_Real Sociedad,La Liga,1.0,66.7,18.2,-0.08,50.0,3.1,1.91,0.15906656831593477
106,106,Geronimo Rulli_2019_Real Sociedad,La Liga,1.3,69.7,25.9,-0.12,36.0,5.3,1.15,0.007449937791739035
107,107,Edouard Mendy_2019_Reims,Ligue 1,1.11,76.7,36.8,0.13,39.3,4.2,0.71,1.7857200367526742
108,108,Abdoulaye Diallo_2019_Rennes,Ligue 1,0.73,85.0,33.3,0.17,33.3,10.0,0.55,2.878918811807149
109,109,Tomas Koubek_2019_Rennes,Ligue 1,1.48,67.4,28.1,-0.24,39.8,3.3,1.51,-0.5528326360566563
110,110,Antonio Mirante_2019_Roma,Serie A,0.55,84.2,54.5,0.41,45.0,1.2,0.55,4.384886038100396
111,111,Robin Olsen_2019_Roma,Serie A,1.56,69.8,14.8,-0.15,43.8,2.4,0.93,-0.7394364135977238
112,112,Alfred Gomis_2019_SPAL,Serie A,1.41,65.8,31.6,-0.21,39.5,2.7,0.52,-0.47106850189724986
113,113,Emiliano Viviano_2019_SPAL,Serie A,1.48,75.0,17.6,-0.06,43.6,2.1,0.53,0.046581325791044126
114,114,Stephane Ruffier_2019_Saint-Etienne,Ligue 1,1.08,77.7,35.1,0.2,30.0,2.3,0.49,1.7960197487210225
115,115,Emil Audero_2019_Sampdoria,Serie A,1.42,70.1,30.6,-0.01,33.2,4.3,1.33,0.2766208376955789
116,116,Andrea Consigli_2019_Sassuolo,Serie A,1.57,66.5,33.3,0.01,40.8,2.7,0.81,0.017964966011987833
117,117,Ralf Fahrmann_2019_Schalke 04,Bundesliga,1.59,71.1,18.8,-0.14,44.2,5.1,1.29,-0.40912483054149795
118,118,Alexander Nubel_2019_Schalke 04,Bundesliga,1.64,68.7,22.2,0.05,41.2,4.8,0.62,-0.17323817443381512
119,119,Tomas Vaclik_2019_Sevilla,La Liga,1.33,72.0,24.2,0.04,31.1,6.1,0.64,0.3759000108789262
120,120,Angus Gunn_2019_Southampton,Premier League,1.5,64.0,25.0,-0.26,27.7,3.0,1.0,-1.238642192169782
121,121,Alex McCarthy_2019_Southampton,Premier League,1.76,64.7,16.0,-0.15,31.1,4.0,0.68,-1.5141455254647662
122,122,Matz Sels_2019_Strasbourg,Ligue 1,1.3,72.3,21.6,-0.05,39.4,4.6,0.81,0.23266051622998232
123,123,Ron-Robert Zieler_2019_Stuttgart,Bundesliga,2.06,62.0,17.6,-0.28,36.3,4.2,1.21,-2.2121527129544907
124,124,Salvatore Sirigu_2019_Torino,Serie A,0.99,75.7,38.9,0.16,45.2,4.8,1.02,2.129029083801848
125,125,Hugo Lloris_2019_Tottenham,Premier League,1.0,76.9,36.4,0.28,40.2,2.9,1.09,2.2828062191552387
126,126,Mauro Goicoechea_2019_Toulouse,Ligue 1,1.52,68.6,42.9,-0.49,37.5,5.0,1.26,-0.5587788116420005
127,127,Baptiste Reynet_2019_Toulouse,Ligue 1,1.5,71.3,19.4,-0.02,38.0,3.0,1.07,-0.13906341649315382
128,128,Juan Musso_2019_Udinese,Serie A,1.38,77.8,24.1,0.12,43.9,2.9,0.34,1.0684790633031032
129,129,Simone Scuffet_2019_Udinese,Serie A,1.44,68.4,22.2,0.05,46.4,1.4,0.44,0.03687834252382255
130,130,Neto_2019_Valencia,La Liga,1.0,80.6,29.4,0.23,32.5,1.8,0.47,2.0026602624778684
131,131,Jordi Masip_2019_Valladolid,La Liga,1.29,72.0,25.7,0.11,31.5,3.1,0.34,0.5656053981116647
132,132,Sergio Asenjo_2019_Villarreal,La Liga,1.41,73.5,28.1,0.17,41.5,3.4,0.81,0.9682434493401215
133,133,Andres Fernandez_2019_Villarreal,La Liga,1.17,73.9,33.3,0.25,48.4,3.1,1.67,1.8293140933418142
134,134,Ben Foster_2019_Watford,Premier League,1.55,69.4,18.4,-0.01,36.1,5.4,1.89,-0.28558844440036735
135,135,Jiri Pavlenka_2019_Werder Bremen,Bundesliga,1.42,71.2,14.7,0.0,42.6,2.6,0.76,-0.13485883161837858
136,136,Lukasz Fabianski_2019_West Ham,Premier League,1.45,74.2,18.4,0.23,37.1,5.2,0.42,0.6998038037466023
137,137,Koen Casteels_2019_Wolfsburg,Bundesliga,1.53,70.6,30.8,0.04,46.2,5.3,1.02,0.5224796286309541
138,138,Pavao Pervan_2019_Wolfsburg,Bundesliga,1.29,72.5,12.5,0.1,47.9,2.3,0.24,0.323137726747229
139,139,Rui Patricio_2019_Wolves,Premier League,1.24,68.8,18.9,-0.07,39.4,2.8,0.49,-0.17890053042523812
140,140,Fernando Pacheco_2020_Alaves,La Liga,1.41,71.6,22.2,-0.1,45.8,2.1,0.42,-0.02891444011092139
141,141,Roberto_2020_Alaves,La Liga,2.16,70.4,25.0,0.13,43.1,2.8,0.34,-0.40010273926714296
142,142,Regis Gurtner_2020_Amiens,Ligue 1,1.79,65.5,17.9,-0.29,42.0,2.4,0.36,-1.6309690019380065
143,143,Ludovic Butelle_2020_Angers,Ligue 1,1.23,65.1,42.3,-0.2,34.8,4.7,0.85,0.10651918088474294
144,144,Bernd Leno_2020_Arsenal,Premier League,1.33,78.1,23.3,0.04,24.1,3.6,1.29,0.6890797866698015
145,145,Emiliano Martinez_2020_Arsenal,Premier League,1.05,81.0,37.5,0.32,28.6,5.8,0.47,2.5216569373347966
146,146,Tom Heaton_2020_Aston Villa,Premier League,1.76,68.6,20.0,-0.28,31.3,2.9,0.65,-1.3924049721537406
147,147,Orjan Nyland_2020_Aston Villa,Premier League,2.0,55.6,20.0,-0.59,31.7,5.0,0.17,-3.4068270723338685
148,148,Pepe Reina_2020_Aston Villa,Premier League,1.67,66.0,16.7,-0.44,47.0,4.8,1.17,-1.6647445546842072
149,149,Pierluigi Gollini_2020_Atalanta,Serie A,1.31,70.0,24.2,-0.07,43.3,1.6,1.78,0.1451296326706973
150,150,Marco Sportiello_2020_Atalanta,Serie A,0.86,72.2,40.0,-0.04,32.1,5.8,1.71,1.4328751927824486
151,151,Unai Simon_2020_Athletic Club,La Liga,0.87,78.0,35.3,0.23,42.5,4.0,0.6,2.395710411967284
152,152,Jan Oblak_2020_Atletico Madrid,La Liga,0.72,78.4,44.7,0.15,39.4,2.3,0.32,2.6633799260245383
153,153,Tomas Koubek_2020_Augsburg,Bundesliga,2.12,58.2,16.7,-0.26,31.7,3.6,1.42,-2.641314283729473
154,154,Andreas Luthe_2020_Augsburg,Bundesliga,1.2,63.6,30.0,0.31,31.5,5.4,1.1,0.7545853973772125
155,155,Marc-Andre ter Stegen_2020_Barcelona,La Liga,1.0,74.1,38.9,-0.03,51.0,4.7,1.08,1.6347147219610996
156,156,Manuel Neuer_2020_Bayern Munich,Bundesliga,0.94,74.5,45.5,0.14,50.4,3.3,3.73,2.5125846631136692
157,157,Daniel Martin_2020_Betis,La Liga,2.03,50.0,20.0,-0.69,39.7,2.9,1.36,-3.963859907418308
158,158,Joel Robles_2020_Betis,La Liga,1.5,71.5,15.2,0.0,33.3,2.2,1.59,-0.29513003238639435
159,159,Lukasz Skorupski_2020_Bologna,Serie A,1.73,69.0,5.4,-0.25,44.2,9.3,0.78,-1.4409941431209168
160,160,Benoit Costil_2020_Bordeaux,Ligue 1,1.21,70.4,21.4,-0.01,40.4,3.9,1.0,0.29139240068038574
161,161,Aaron Ramsdale_2020_Bournemouth,Premier League,1.68,69.5,13.5,-0.04,30.1,3.4,0.68,-0.9058421649848111
162,162,Lorenzo Andrenacci_2020_Brescia,Serie A,2.71,63.6,0.0,-0.54,40.0,3.1,0.17,-4.175079670571538
163,163,Jesse Joronen_2020_Brescia,Serie A,2.03,72.4,17.2,-0.08,36.3,3.2,0.41,-0.9763348980852576
164,164,Gautier Larsonneur_2020_Brest,Ligue 1,1.28,76.5,25.9,0.28,34.3,4.2,1.05,1.4547582920492026
165,165,Mathew Ryan_2020_Brighton,Premier League,1.42,69.0,23.7,-0.05,50.2,3.8,0.68,0.057025961822137615
166,166,Nick Pope_2020_Burnley,Premier League,1.32,72.5,39.5,-0.09,30.2,8.3,1.26,0.7671299011681224
167,167,Alessio Cragno_2020_Cagliari,Serie A,1.31,77.5,18.8,0.1,30.4,4.4,0.44,0.7063663255396692
168,168,Robin Olsen_2020_Cagliari,Serie A,1.42,77.5,23.5,0.07,35.4,2.7,0.3,0.712465649149447
169,169,Rafael_2020_Cagliari,Serie A,2.18,47.1,0.0,-0.68,46.5,3.1,0.59,-5.031656430409986
170,170,Ruben Blanco_2020_Celta Vigo,La Liga,1.31,71.9,30.3,-0.06,35.5,3.6,0.33,0.3774019099162608
171,171,Kepa Arrizabalaga_2020_Chelsea,Premier League,1.42,54.5,24.2,-0.34,33.2,5.8,1.06,-1.9487686199177048
172,172,Vicente Guaita_2020_Crystal Palace,Premier League,1.2,71.8,28.6,0.21,32.3,3.9,0.69,1.057323363945366
173,173,Runar Alex Runarsson_2020_Dijon,Ligue 1,1.7,63.8,0.0,-0.47,41.3,5.5,0.9,-2.6632716260931852
174,174,Alfred Gomis_2020_Dijon,Ligue 1,1.11,76.5,31.6,-0.08,43.1,7.5,0.72,1.2125253450265268
175,175,Roman Burki_2020_Dortmund,Bundesliga,1.3,61.1,38.7,-0.08,30.9,3.6,1.46,-0.18932271527086392
176,176,Florian Kastenmeier_2020_Dusseldorf,Bundesliga,1.82,62.8,11.8,-0.17,40.1,2.9,1.18,-1.78963750500971
177,177,Zack Steffen_2020_Dusseldorf,Bundesliga,2.12,64.6,11.8,-0.15,43.6,5.3,0.94,-1.864309261018742
178,178,Marko Dmitrovic_2020_Eibar,La Liga,1.46,61.5,28.6,-0.12,32.4,5.7,2.14,-0.7098349893005059
179,179,Frederik Ronnow_2020_Eint Frankfurt,Bundesliga,1.56,75.5,11.1,0.04,45.3,3.4,1.22,0.08327734837650132
180,180,Kevin Trapp_2020_Eint Frankfurt,Bundesliga,1.73,64.8,18.2,-0.18,42.6,5.7,1.45,-1.1880955336853545
181,181,Diego Lopez_2020_Espanyol,La Liga,1.62,67.5,11.1,-0.06,33.0,5.5,1.39,-0.9892654222444852
182,182,Jordan Pickford_2020_Everton,Premier League,1.47,63.9,23.7,-0.07,37.0,4.7,0.66,-0.6406408607388006
183,183,Bartlomiej Dragowski_2020_Fiorentina,Serie A,1.39,73.4,25.8,-0.01,32.2,3.0,0.97,0.3216188621999343
184,184,Pietro Terracciano_2020_Fiorentina,Serie A,0.72,91.3,28.6,0.36,23.1,5.8,0.72,3.408684572912692
185,185,Mark Flekken_2020_Freiburg,Bundesliga,1.4,79.7,30.0,0.57,35.6,3.1,0.8,2.3847566175372594
186,186,Alexander Schwolow_2020_Freiburg,Bundesliga,1.38,75.4,16.7,0.0,35.7,3.4,0.6,0.21388143002456686
187,187,Mattia Perin_2020_Genoa,Serie A,1.81,64.1,23.8,-0.12,34.6,5.3,0.57,-1.177310573387428
188,188,Ionut Radu_2020_Genoa,Serie A,2.06,70.4,11.8,-0.16,36.1,3.2,0.41,-1.564716849085524
189,189,David Soria_2020_Getafe,La Liga,0.97,70.6,39.5,0.09,37.0,5.2,1.82,1.538277643093407
190,190,Rui Silva_2020_Granada,La Liga,1.2,73.2,34.3,0.02,36.9,5.0,1.89,1.1023216747198048
191,191,Marco Silvestri_2020_Hellas Verona,Serie A,1.23,77.4,25.7,0.08,26.5,3.1,0.43,0.9130717199080597
192,192,Rune Jarstein_2020_Hertha BSC,Bundesliga,1.63,72.7,31.0,-0.06,46.5,7.2,0.71,0.3656247205833614
193,193,Oliver Baumann_2020_Hoffenheim,Bundesliga,1.63,69.9,23.3,0.05,35.0,3.7,0.9,-0.13348121735464966
194,194,Samir Handanovic_2020_Inter,Serie A,0.91,72.7,37.1,-0.05,50.0,4.9,0.54,1.473003850914239
195,195,Gianluigi Buffon_2020_Juventus,Serie A,1.11,72.7,11.1,-0.27,46.2,2.8,0.78,-0.3606120611356258
196,196,Wojciech Szczesny_2020_Juventus,Serie A,1.15,80.6,37.9,0.14,49.7,3.1,1.29,2.2848273251137203
197,197,Timo Horn_2020_Koln,Bundesliga,2.03,58.3,17.6,-0.36,48.9,4.2,0.68,-2.4862756408199624
198,198,Thomas Strakosha_2020_Lazio,Serie A,1.11,77.3,28.9,0.09,40.2,2.1,0.47,1.3919825009028317
199,199,Gabriel_2020_Lecce,Serie A,2.28,70.9,5.9,-0.08,40.0,4.5,0.45,-1.7256107633958546
200,200,Ivan Cuellar_2020_Leganes,La Liga,1.22,67.7,25.9,-0.09,35.6,2.8,1.41,-0.02922666681443283
201,201,Juan Soriano_2020_Leganes,La Liga,1.64,66.7,9.1,-0.11,26.9,6.0,0.36,-1.4198545756628231
202,202,Kasper Schmeichel_2020_Leicester City,Premier League,1.08,75.6,34.2,0.14,45.2,2.8,0.89,1.7354392409553752
203,203,Aitor Fernandez_2020_Levante,La Liga,1.42,76.6,13.9,0.1,34.6,3.4,1.25,0.4149564754922503
204,204,Lukas Hradecky_2020_Leverkusen,Bundesliga,1.29,70.6,29.4,0.12,36.1,3.8,1.62,0.7882547962408393
205,205,Mike Maignan_2020_Lille,Ligue 1,0.96,72.3,42.9,0.04,33.3,3.4,0.86,1.531720105399129
206,206,Adrian_2020_Liverpool,Premier League,1.03,63.0,22.2,-0.26,36.4,5.5,1.44,-0.6354678882166168
207,207,Alisson_2020_Liverpool,Premier League,0.81,72.5,44.8,-0.08,45.0,3.3,2.23,1.7830135812077912
208,208,Anthony Lopes_2020_Lyon,Ligue 1,0.96,73.3,30.8,0.03,43.7,3.5,0.77,1.2947225328641783
209,209,Yann Sommer_2020_M'Gladbach,Bundesliga,1.18,75.3,20.6,0.22,43.1,2.6,1.44,1.2674315632041937
