,unique_ID,Comp,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,player_market_value_euro
21,Pau Lopez_2019_Betis,La Liga,ESP,GK,23.0,1994.0,33.0,33.0,2970.0,33.0,47.0,1.42,134.0,86.0,67.2,12.0,7.0,14.0,10.0,30.3,4.0,3.0,1.0,0.0,25.0,https://fbref.com/en/players/20b9f052/Pau-Lopez,47.0,3.0,2.0,7.0,0.0,45.6,0.32,-1.4,-0.04,106.0,281.0,37.7,995.0,173.0,19.0,26.4,249.0,36.9,36.7,406.0,23.0,5.7,46.0,1.39,15.9,
22,Joel Robles_2019_Betis,La Liga,ESP,GK,28.0,1990.0,5.0,5.0,450.0,5.0,5.0,1.0,21.0,16.0,81.0,2.0,1.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/cda0b317/Joel-Robles,5.0,1.0,0.0,1.0,0.0,6.0,0.24,1.0,0.19,22.0,56.0,39.3,158.0,22.0,28.5,30.6,27.0,40.7,36.9,60.0,2.0,3.3,12.0,2.4,18.7,
23,Lukasz Skorupski_2019_Bologna,Serie A,POL,GK,27.0,1991.0,38.0,38.0,3420.0,38.0,56.0,1.47,173.0,118.0,69.9,11.0,11.0,16.0,10.0,26.3,4.0,4.0,0.0,0.0,0.0,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,56.0,4.0,1.0,4.0,1.0,50.6,0.27,-4.4,-0.11,251.0,543.0,46.2,776.0,225.0,41.1,36.4,353.0,63.5,46.7,599.0,32.0,5.3,14.0,0.37,11.3,5500000.0
24,Benoit Costil_2019_Bordeaux,Ligue 1,FRA,GK,31.0,1987.0,37.0,37.0,3330.0,37.0,42.0,1.14,152.0,109.0,76.3,9.0,11.0,17.0,9.0,24.3,7.0,6.0,1.0,0.0,14.3,https://fbref.com/en/players/2434f24a/Benoit-Costil,42.0,6.0,1.0,11.0,0.0,46.4,0.27,4.4,0.12,254.0,578.0,43.9,833.0,124.0,43.6,37.6,325.0,66.2,48.7,576.0,13.0,2.3,22.0,0.59,13.6,
25,Gaetan Poussin_2019_Bordeaux,Ligue 1,FRA,GK,19.0,1999.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/c252c705/Gaetan-Poussin,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.2,0.23,8.0,23.0,34.8,22.0,2.0,50.0,38.4,13.0,92.3,52.6,22.0,0.0,0.0,0.0,0.0,14.0,
26,Asmir Begovic_2019_Bournemouth,Premier League,BIH,GK,31.0,1987.0,24.0,24.0,2160.0,24.0,47.0,1.96,104.0,59.0,56.7,8.0,3.0,13.0,5.0,20.8,2.0,2.0,0.0,0.0,0.0,https://fbref.com/en/players/7b4de647/Asmir-Begovic,47.0,2.0,0.0,5.0,2.0,34.5,0.32,-10.5,-0.44,129.0,328.0,39.3,466.0,128.0,42.5,35.9,192.0,67.7,49.9,365.0,24.0,6.6,16.0,0.67,11.3,
27,Artur Boruc_2019_Bournemouth,Premier League,POL,GK,38.0,1980.0,12.0,12.0,1080.0,12.0,18.0,1.5,56.0,38.0,73.2,4.0,3.0,5.0,4.0,33.3,3.0,3.0,0.0,0.0,0.0,https://fbref.com/en/players/34ccf6fa/Artur-Boruc,18.0,3.0,2.0,1.0,0.0,15.9,0.24,-2.1,-0.17,57.0,167.0,34.1,236.0,62.0,39.8,36.6,112.0,65.2,48.2,213.0,4.0,1.9,9.0,0.75,14.3,
28,Mark Travers_2019_Bournemouth,Premier League,IRL,GK,19.0,1999.0,2.0,2.0,180.0,2.0,5.0,2.5,13.0,9.0,61.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/fe558029/Mark-Travers,5.0,0.0,0.0,0.0,1.0,4.7,0.37,0.7,0.35,5.0,17.0,29.4,42.0,13.0,28.6,30.0,14.0,35.7,38.0,18.0,0.0,0.0,5.0,2.5,29.8,
29,David Button_2019_Brighton,Premier League,ENG,GK,29.0,1989.0,4.0,4.0,360.0,4.0,5.0,1.25,18.0,13.0,83.3,1.0,1.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,https://fbref.com/en/players/e608ed4c/David-Button,5.0,2.0,0.0,0.0,0.0,4.8,0.15,-0.2,-0.06,26.0,87.0,29.9,74.0,9.0,73.0,47.7,34.0,97.1,65.1,55.0,3.0,5.5,2.0,0.5,13.5,1200000.0
30,Mathew Ryan_2019_Brighton,Premier League,AUS,GK,26.0,1992.0,34.0,34.0,3060.0,34.0,55.0,1.62,152.0,96.0,69.1,8.0,8.0,18.0,6.0,17.6,8.0,8.0,0.0,0.0,0.0,https://fbref.com/en/players/4535e4bb/Mathew-Ryan,55.0,8.0,1.0,5.0,0.0,51.2,0.29,-3.8,-0.11,302.0,735.0,41.1,702.0,100.0,61.7,42.7,324.0,93.2,58.8,506.0,17.0,3.4,11.0,0.32,11.6,8000000.0
31,Joe Hart_2019_Burnley,Premier League,ENG,GK,31.0,1987.0,19.0,19.0,1710.0,19.0,41.0,2.16,116.0,75.0,65.5,3.0,3.0,13.0,4.0,21.1,2.0,1.0,1.0,0.0,50.0,https://fbref.com/en/players/cb4f24c6/Joe-Hart,41.0,1.0,1.0,6.0,1.0,36.0,0.3,-4.0,-0.21,202.0,500.0,40.4,434.0,50.0,75.8,49.2,181.0,94.5,65.2,310.0,6.0,1.9,14.0,0.74,13.3,2400000.0
32,Tom Heaton_2019_Burnley,Premier League,ENG,GK,32.0,1986.0,19.0,19.0,1710.0,19.0,27.0,1.42,83.0,59.0,68.7,8.0,4.0,7.0,4.0,21.1,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/a6de6361/Tom-Heaton,27.0,1.0,1.0,2.0,3.0,22.0,0.26,-2.0,-0.1,179.0,457.0,39.2,414.0,45.0,73.4,48.2,172.0,89.0,60.7,333.0,8.0,2.4,29.0,1.53,16.4,
33,Brice Samba_2019_Caen,Ligue 1,FRA,GK,24.0,1994.0,38.0,38.0,3420.0,38.0,54.0,1.42,193.0,139.0,75.1,7.0,12.0,19.0,9.0,23.7,8.0,6.0,2.0,0.0,25.0,https://fbref.com/en/players/60d90c55/Brice-Samba,54.0,6.0,4.0,5.0,2.0,65.9,0.31,13.9,0.37,356.0,772.0,46.1,913.0,178.0,56.7,41.3,316.0,80.4,54.6,606.0,37.0,6.1,16.0,0.42,11.7,
34,Alessio Cragno_2019_Cagliari,Serie A,ITA,GK,24.0,1994.0,38.0,38.0,3420.0,38.0,54.0,1.42,205.0,151.0,77.6,10.0,11.0,17.0,7.0,18.4,10.0,8.0,2.0,0.0,20.0,https://fbref.com/en/players/f554e29b/Alessio-Cragno,54.0,8.0,2.0,4.0,2.0,61.5,0.26,9.5,0.25,337.0,722.0,46.7,884.0,175.0,48.6,36.9,369.0,79.1,53.6,646.0,25.0,3.9,31.0,0.82,12.8,16000000.0
35,Neil Etheridge_2019_Cardiff City,Premier League,PHI,GK,28.0,1990.0,38.0,38.0,3420.0,38.0,69.0,1.82,207.0,135.0,68.6,10.0,4.0,24.0,10.0,26.3,7.0,4.0,3.0,0.0,42.9,https://fbref.com/en/players/2642bf6c/Neil-Etheridge,69.0,4.0,1.0,12.0,0.0,68.2,0.3,-0.8,-0.02,337.0,1076.0,31.3,876.0,51.0,86.6,53.9,319.0,99.4,65.6,536.0,15.0,2.8,46.0,1.21,15.4,
36,Sergio Alvarez_2019_Celta Vigo,La Liga,ESP,GK,31.0,1986.0,13.0,13.0,1170.0,13.0,22.0,1.69,58.0,37.0,65.5,3.0,5.0,5.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,https://fbref.com/en/players/8875b8c9/Sergio-Alvarez,22.0,2.0,1.0,2.0,1.0,19.1,0.3,-1.9,-0.15,91.0,237.0,38.4,330.0,47.0,43.9,36.5,128.0,71.9,52.1,230.0,8.0,3.5,7.0,0.54,12.9,1200000.0
37,Ruben Blanco_2019_Celta Vigo,La Liga,ESP,GK,23.0,1995.0,25.0,25.0,2250.0,25.0,40.0,1.6,109.0,69.0,67.0,7.0,6.0,12.0,6.0,24.0,5.0,4.0,0.0,1.0,0.0,https://fbref.com/en/players/967f34d3/Ruben-Blanco,40.0,4.0,3.0,3.0,0.0,40.7,0.34,0.7,0.03,166.0,432.0,38.4,595.0,114.0,44.5,38.0,220.0,75.9,56.8,351.0,12.0,3.4,30.0,1.2,15.6,8000000.0
38,Kepa Arrizabalaga_2019_Chelsea,Premier League,ESP,GK,23.0,1994.0,36.0,36.0,3240.0,36.0,39.0,1.08,121.0,81.0,68.6,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,50.0,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,39.0,1.0,0.0,6.0,0.0,36.5,0.29,-2.5,-0.07,114.0,230.0,49.6,903.0,156.0,15.7,25.9,256.0,34.4,36.5,369.0,14.0,3.8,35.0,0.97,18.1,32000000.0
39,Willy Caballero_2019_Chelsea,Premier League,ARG,GK,36.0,1981.0,2.0,2.0,180.0,2.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/a179d516/Willy-Caballero,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.3,0.16,9.0,20.0,45.0,47.0,9.0,19.1,29.5,16.0,68.8,46.6,26.0,2.0,7.7,0.0,0.0,5.8,
40,Andrea Seculin_2019_Chievo,Serie A,ITA,GK,28.0,1990.0,2.0,1.0,90.0,1.0,7.0,7.0,12.0,5.0,41.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/c4f573f4/Andrea-Seculin,7.0,0.0,0.0,1.0,0.0,4.7,0.4,-2.3,-2.26,6.0,13.0,46.2,19.0,3.0,52.6,37.1,5.0,60.0,47.0,6.0,0.0,0.0,2.0,1.98,19.7,
41,Adrian Semper_2019_Chievo,Serie A,CRO,GK,20.0,1998.0,6.0,6.0,540.0,6.0,8.0,1.33,32.0,24.0,75.0,1.0,3.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f02dde20/Adrian-Semper,8.0,0.0,0.0,1.0,0.0,8.1,0.26,0.1,0.02,44.0,115.0,38.3,143.0,26.0,47.6,39.8,52.0,90.4,55.1,148.0,11.0,7.4,3.0,0.5,9.1,
42,Stefano Sorrentino_2019_Chievo,Serie A,ITA,GK,39.0,1979.0,31.0,31.0,2790.0,31.0,60.0,1.94,167.0,107.0,65.3,1.0,11.0,19.0,5.0,16.1,4.0,2.0,2.0,0.0,50.0,https://fbref.com/en/players/048877f5/Stefano-Sorrentino,60.0,2.0,2.0,6.0,2.0,49.6,0.28,-8.4,-0.27,201.0,462.0,43.5,603.0,94.0,45.8,37.0,296.0,62.8,41.6,506.0,8.0,1.6,8.0,0.26,9.6,
